CustomerID,Gender,Age,Annual_Income,Spending_Score,Age_Group,Gender_Code,Age_scaled,Income_scaled,Score_scaled,Cluster
1,Male,19,15,39,<20,1,-1.4245687900521393,-1.7389991930659485,-0.43480147996914814,4
2,Male,21,15,81,20-29,1,-1.2810354107017978,-1.7389991930659485,1.195704069915157,2
3,Female,20,16,6,<20,0,-1.3528021003769686,-1.7008297638941763,-1.7159129834496736,4
4,Female,23,16,77,20-29,0,-1.1375020313514563,-1.7008297638941763,1.0404178270690327,2
5,Female,31,17,40,30-39,0,-0.5633685139500905,-1.6626603347224038,-0.3959799192576171,4
6,Female,22,17,76,20-29,0,-1.209268721026627,-1.6626603347224038,1.0015962663575015,2
7,Female,35,18,6,30-39,0,-0.2763017552494075,-1.6244909055506316,-1.7159129834496736,4
8,Female,23,18,94,20-29,0,-1.1375020313514563,-1.6244909055506316,1.700384359165061,2
9,Male,64,19,3,60-69,1,1.804932245330544,-1.5863214763788591,-1.832377665584267,4
10,Female,30,19,72,20-29,0,-0.6351352036252612,-1.5863214763788591,0.8463100235113773,2
11,Male,67,19,14,60-69,1,2.0202323143560563,-1.5863214763788591,-1.405340497757425,4
12,Female,35,19,99,30-39,0,-0.2763017552494075,-1.5863214763788591,1.8944921627227165,2
13,Female,58,20,15,50-59,0,1.3743321072795196,-1.5481520472070869,-1.3665189370458939,4
14,Female,24,20,77,20-29,0,-1.0657353416762856,-1.5481520472070869,1.0404178270690327,2
15,Male,37,20,13,30-39,1,-0.13276837589906598,-1.5481520472070869,-1.444162058468956,4
16,Male,22,20,79,20-29,1,-1.209268721026627,-1.5481520472070869,1.118060948492095,2
17,Female,35,21,35,30-39,0,-0.2763017552494075,-1.5099826180353144,-0.5900877228152724,4
18,Male,20,21,66,<20,1,-1.3528021003769686,-1.5099826180353144,0.6133806592421909,2
19,Male,52,23,29,50-59,1,0.9437319692284951,-1.4336437596917697,-0.823017087084459,4
20,Female,35,23,98,30-39,0,-0.2763017552494075,-1.4336437596917697,1.8556706020111853,2
21,Male,35,24,35,30-39,1,-0.2763017552494075,-1.3954743305199975,-0.5900877228152724,4
22,Male,25,24,73,20-29,1,-0.9939686520011148,-1.3954743305199975,0.8851315842229084,2
23,Female,46,25,5,40-49,0,0.5131318311774707,-1.357304901348225,-1.7547345441612048,4
24,Male,31,25,73,30-39,1,-0.5633685139500905,-1.357304901348225,0.8851315842229084,2
25,Female,54,28,14,50-59,0,1.0872653485788366,-1.2427966138329078,-1.405340497757425,4
26,Male,29,28,82,20-29,1,-0.706901893300432,-1.2427966138329078,1.234525630626688,2
27,Female,45,28,32,40-49,0,0.44136514150229994,-1.2427966138329078,-0.7065524049498657,4
28,Male,35,28,61,30-39,1,-0.2763017552494075,-1.2427966138329078,0.4192728556845355,2
29,Female,40,29,31,30-39,0,0.08253169312644625,-1.2046271846611356,-0.7453739656613968,4
30,Female,23,29,87,20-29,0,-1.1375020313514563,-1.2046271846611356,1.4286334341843434,2
